sigma,avg_pdr
0,0.6639208556915629
1,0.5210942668312364
2,0.6494351001820248
3,0.28365505638119864
4,0.1997683687031201
5,0.2595996762759633
6,0.1955332624362092
7,0.2671214884780333
8,0.25079390370471877
9,0.27605769234194244
