dist,hops,pdr,ar,cr,mr,energy
500.0,1,0.17539863325740318,0.8246013667425968,0.0,0.0,574.635736452514
500.0,2,0.16535874439461884,0.8323991031390134,0.0,0.013377926421404682,574.7547992285171
500.0,3,0.18647764449291168,0.8075245365321702,0.014164305949008499,0.0169971671388102,574.9754213285153
500.0,4,0.23405466970387243,0.7471526195899773,0.05855855855855856,0.015765765765765764,574.6338149525106
500.0,5,0.29269695227142034,0.6653248993674525,0.1134020618556701,0.012027491408934709,574.54815958851
500.0,6,0.2928611579539067,0.6340640809443507,0.17972350230414746,0.019969278033794162,574.7349577685156
500.0,7,0.3198910081743869,0.5803814713896458,0.20909090909090908,0.024675324675324677,574.9659713285203
500.0,8,0.3480874316939891,0.5049180327868853,0.27593818984547464,0.019867549668874173,574.9533048605178
500.0,9,0.35662381218557854,0.45332588038010063,0.3292433537832311,0.019427402862985686,574.7799641885167
500.0,10,0.3404255319148936,0.4186170212765957,0.3989021043000915,0.01463860933211345,575.1747774605205
500.0,11,0.31298129812981296,0.3690869086908691,0.4908456843940715,0.012205754141238012,574.9020124565178
500.0,12,0.35332966428178314,0.31425426527242706,0.4695024077046549,0.013643659711075442,574.8986174645172
500.0,13,0.3333333333333333,0.2857142857142857,0.518007662835249,0.01532567049808429,574.9331973845175
500.0,14,0.29448550312677657,0.24616259238203525,0.5965309200603318,0.00980392156862745,574.6380464285135
500.0,15,0.2598870056497175,0.20395480225988702,0.6472675656493967,0.0106458481192335,574.6912043405141
500.0,16,0.22196531791907514,0.19190751445086704,0.6552217453505007,0.01072961373390558,574.52018766051
500.0,17,0.188268156424581,0.17150837988826817,0.6979096426163183,0.007417397167902899,574.7778781805196
500.0,18,0.15571913929784825,0.13873159682899208,0.6745562130177515,0.0046022353714661405,574.6685208725128
500.0,19,0.14503386004514673,0.1275395033860045,0.6707632600258733,0.00517464424320828,574.701585324515
500.0,20,0.11447440836543754,0.10291689598238855,0.6687116564417178,0.0036809815950920245,574.8883169645163
