sigma,avg_pdr
0,0.6669975018552636
1,0.5166145428296289
2,0.30084704422893804
3,0.26029142995941956
4,0.222158490117725
5,0.23187161111554086
6,0.24419498443787752
7,0.26866071966406385
8,0.2765951694638888
9,0.28339408603134286
