dist,interval,pdr,ar,cr,mr,energy
500.0,1,0.0002223951962637607,0.10713888580006672,0.1386761317641198,0.005479793262345102,640.4425734128602
500.0,2,0.012586949320967208,0.19796842221486144,0.2717511013215859,0.01032488986784141,606.3776295607184
500.0,3,0.05334675390035229,0.2663982553262875,0.3997255888406129,0.014406585867825292,592.9271718126346
500.0,4,0.12182961196618253,0.3275525688272274,0.4829142488716957,0.020309477756286266,587.0562615965938
500.0,5,0.2123401889938855,0.3568649249583102,0.513828867761452,0.020743301642178046,582.6449957165686
500.0,6,0.2805631868131868,0.3866758241758242,0.509518477043673,0.020156774916013438,579.6577512125485
500.0,7,0.29427379598028064,0.3845278725824801,0.49969192852741834,0.020948860135551448,578.4576314045429
500.0,8,0.32537861404313906,0.4015603487838458,0.4363496932515337,0.019171779141104295,576.463615068528
500.0,9,0.3232931726907631,0.4146586345381526,0.42967409948542024,0.016295025728987993,575.652295572523
500.0,10,0.3458810692853246,0.41680305510092747,0.3844714686623012,0.021515434985968196,574.9716798365173
500.0,11,0.3619105939987753,0.3949785670545009,0.3896761133603239,0.012145748987854251,574.1000589365121
500.0,12,0.3709043250327654,0.4161205766710354,0.3501683501683502,0.01122334455667789,573.6176688005053
500.0,13,0.37053245805981033,0.4449307075127644,0.32588699080157685,0.005256241787122208,572.9612800325041
500.0,14,0.391304347826087,0.4442687747035573,0.28733997155049784,0.007112375533428165,572.4916963805013
500.0,15,0.3822033898305085,0.45084745762711864,0.29012345679012347,0.012345679012345678,572.1200565604981
500.0,16,0.4110371075166508,0.4167459562321599,0.28711256117455136,0.008156606851549755,571.5575830924937
500.0,17,0.4106324472960587,0.44454628780934924,0.2524752475247525,0.00825082508250825,571.7306157724967
500.0,18,0.42063492063492064,0.41865079365079366,0.26621160409556316,0.006825938566552901,571.378120944492
500.0,19,0.3874873864783047,0.4601412714429869,0.2691588785046729,0.011214953271028037,571.2991680724909
500.0,20,0.4276315789473684,0.42653508771929827,0.2447418738049713,0.009560229445506692,570.9661997044909
500.0,21,0.41580756013745707,0.47079037800687284,0.20346320346320346,0.010822510822510822,570.7901675164892
500.0,22,0.43223443223443225,0.44932844932844934,0.20620842572062084,0.0066518847006651885,570.5519649484885
500.0,23,0.435630689206762,0.45513654096228867,0.1957040572792363,0.002386634844868735,570.3371388484851
500.0,24,0.4642335766423358,0.4321167883211679,0.16452442159383032,0.012853470437017995,569.9692090204819
500.0,25,0.4298941798941799,0.458994708994709,0.1882640586797066,0.017114914425427872,570.2726549524858
500.0,26,0.44203821656050957,0.46496815286624205,0.16428571428571428,0.004761904761904762,570.4075552204845
500.0,27,0.40976331360946744,0.48668639053254437,0.19020172910662825,0.008645533141210375,569.9334006004816
500.0,28,0.4288,0.4672,0.1921921921921922,0.0,569.7177240004828
500.0,29,0.43106180665610144,0.4675118858954041,0.18452380952380953,0.005952380952380952,569.7386609524791
500.0,30,0.4355628058727569,0.46818923327895595,0.17484662576687116,0.006134969325153374,569.6657700964797
