id,pdr,ar,cr,mr,energy,hops,dist
1,0.0,0.9982608695652174,1.0,0.0,569.5433903404797,2,869.2879645346379
2,0.998211091234347,0.0,0.0017889087656529517,0.0,569.5125689284775,1,34.460473232681494
3,0.06209150326797386,0.9362745098039216,0.0,0.02564102564102564,569.7249906844798,2,506.7005501289381
4,0.0,0.9983277591973244,0.0,1.0,569.6364114964807,3,872.1885701933834
5,0.15151515151515152,0.8484848484848485,0.0,0.0,569.8135628644823,1,325.16350609419067
6,0.013333333333333334,0.985,0.1111111111111111,0.0,577.0595595485296,1,556.9886376784592
7,0.006791171477079796,0.9932088285229203,0.0,0.0,569.6420756884797,2,586.6665529275597
8,0.5061728395061729,0.49382716049382713,0.0,0.0,569.5509268444791,1,198.00682520650912
9,0.22137404580152673,0.7770992366412214,0.00684931506849315,0.0,569.9402854804817,1,291.8182388763177
10,0.8285714285714286,0.16974789915966387,0.0020242914979757085,0.0,572.0951004844953,1,137.84891976492395
11,0.300163132137031,0.6933115823817292,0.015957446808510637,0.005319148936170213,569.7467341564807,2,366.2352316016725
12,0.22445561139028475,0.7738693467336684,0.007407407407407408,0.0,569.6787747844793,1,277.6164670023584
13,0.41127694859038144,0.5870646766169154,0.004016064257028112,0.0,569.7153933964794,2,338.2857277958615
14,0.008403361344537815,0.9831932773109243,0.5,0.0,569.66773230048,2,532.8686993580319
15,0.046357615894039736,0.9503311258278145,0.06666666666666667,0.0,569.7062198884826,1,405.484723872641
16,0.009771986970684038,0.9853420195439739,0.3333333333333333,0.0,569.923874316482,2,663.1825689212876
17,0.0032310177705977385,0.9903069466882067,0.5,0.16666666666666666,569.7606626284811,2,714.2120125811024
18,0.025466893039049237,0.9728353140916808,0.0625,0.0,570.7374825004856,1,472.5412515381795
19,0.9932773109243698,0.0067226890756302525,0.0,0.0,569.6717904604809,1,74.34330869326573
