sigma,avg_pdr
0,0.662451791119435
1,0.6513700132560832
2,0.618660554744961
3,0.5913098157631326
4,0.4705677414057554
5,0.48382303242503677
6,0.39272404698447144
7,0.304838888432586
8,0.2640954079061387
9,0.22751817022928367
