id,pdr,ar,cr,mr,energy,hops,dist
1,0.05442176870748299,0.9421768707482994,0.058823529411764705,0.0,569.657590836479,2,869.2879645346379
2,0.9581993569131833,0.03697749196141479,0.005008347245409015,0.0,569.815062384481,1,34.460473232681494
3,0.14759535655058043,0.8490878938640133,0.02197802197802198,0.0,569.73206703648,1,506.7005501289381
4,0.05472636815920398,0.945273631840796,0.0,0.0,572.1440999284979,1,872.1885701933834
5,0.3088480801335559,0.6878130217028381,0.0106951871657754,0.0,569.7164657284799,1,325.16350609419067
6,0.04377104377104377,0.9545454545454546,0.037037037037037035,0.0,569.6930439484805,2,556.9886376784592
7,0.10865561694290976,0.8913443830570903,0.0,0.0,569.4856043284794,2,586.6665529275597
8,0.5008156606851549,0.49755301794453505,0.003246753246753247,0.0,569.7857252764784,1,198.00682520650912
9,0.3270868824531516,0.6712095400340715,0.0051813471502590676,0.0,570.3981491284859,1,291.8182388763177
10,0.6494345718901454,0.3473344103392569,0.0049504950495049506,0.0,569.7887915884814,1,137.84891976492395
11,0.26430976430976433,0.7323232323232324,0.012578616352201259,0.0,569.6905239484803,1,366.2352316016725
12,0.3853989813242784,0.6112054329371817,0.008733624454148471,0.0,569.65232332848,1,277.6164670023584
13,0.31683168316831684,0.6798679867986799,0.010309278350515464,0.0,569.7409220044793,1,338.2857277958615
14,0.12438625204582651,0.8723404255319149,0.02564102564102564,0.0,569.7608126524814,1,532.8686993580319
15,0.2634315424610052,0.7313691507798961,0.01935483870967742,0.0,569.6393082244791,1,405.484723872641
16,0.09236234458259325,0.9058614564831261,0.018867924528301886,0.0,569.5711458364808,1,663.1825689212876
17,0.08013937282229965,0.9198606271777003,0.0,0.0,571.1485457644897,1,714.2120125811024
18,0.18699186991869918,0.8097560975609757,0.017094017094017096,0.0,569.7786659404821,1,472.5412515381795
19,0.843042071197411,0.15372168284789645,0.0038240917782026767,0.0,569.8011359164796,1,74.34330869326573
